,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,consent_value,description
39444,,Napier,23/07/15,N150717,6 Merton Crescent   Napier,6 Merton Crescent,,,,"4,500",replace existing with woodsman totara insert woodburner
39445,,Napier,24/07/15,N150696,3 Ryan Crescent   Napier,3 Ryan Crescent,,,,"4,000",replace existing with masport talisman woodburner
39451,,Napier,27/07/15,N150739,155 Powdrell Road   Napier,155 Powdrell Road,,,,"9,965",install firenzo encore rural woodburner with wetback
39469,,Napier,4/08/15,N150765,10 Hyatt Grove   Napier,10 Hyatt Grove,,,,"6,780",replace existing with firenzo contessa ag woodburner   
39470,,Napier,4/08/15,N150766,90 Sandy Road   Napier,90 Sandy Road,,,,"4,800",replace existing with osurn 1600 freestanding woodburner
39471,,Napier,4/08/15,N150763,9 Upham Crescent   Napier,9 Upham Crescent,,,,"4,550",install kent logaire ii inbuilt woodburner
39472,,Napier,4/08/15,N150743,2 Porritt Place   Napier,2 Porritt Place,,,,"4,500",replace existing with woodsman tarras mkiii freestanding woodburner
39473,,Napier,4/08/15,N150745,2 Rata Street   Napier,2 Rata Street,,,,"4,500",replace existing with masport i2000 insert woodburner
39476,,Napier,4/08/15,N150747,9 Cornford Place   Napier,9 Cornford Place,,,,"4,500",replace existing with woodsman totara insert woodburner
39478,,Napier,4/08/15,N150768,39 Harold Holt Avenue   Napier,39 Harold Holt Avenue,,,,"4,000",replace existing with masport i3000 insert woodburner
39479,,Napier,4/08/15,N150753,51 Lyttelton Crescent   Napier,51 Lyttelton Crescent,,,,"4,000",replace existing with masort r5000 freestanding woodburner
39480,,Napier,4/08/15,N150742,83 Hillary Crescent   Napier,83 Hillary Crescent,,,,"4,000",replace existing with masport r1500 woodburner
39481,,Napier,4/08/15,N150749,105 Thompson Road   Napier,105 Thompson Road,,,,"3,750",replace existing with jayline is550 insert woodburner
39482,,Napier,4/08/15,N150750,156A York Avenue   Napier,156A York Avenue,,,,"3,500",install metro eco tiny ped freestanding woodburner
39483,,Napier,5/08/15,N150764,6 Fern Grove   Napier,6 Fern Grove,,,,"2,974",replace existing with jayline ss280p freestanding woodburner
39484,,Napier,6/08/15,N150782,5 Ypres Street   Napier,5 Ypres Street,,,,"5,500",install firenzo lady kitchener urban freestanding woodburner
39485,,Napier,6/08/15,N150783,57C Napier Terrace   Napier,57C Napier Terrace,,,,"5,000",replace existing with metro xtreme ped woodburner
39486,,Napier,6/08/15,N150772,461 Gloucester Street   Napier,461 Gloucester Street,,,,"4,750",install masport r5000 pedestal woodburner
39487,,Napier,6/08/15,N150785,11 Havelock Road   Napier,11 Havelock Road,,,,"4,500",install masport bannockburn i2000 insert woodburner
39489,,Napier,6/08/15,N150769,55 Riverbend Road   Napier,55 Riverbend Road,,,,"4,500",replace existing with metro wee rad freestanding woodburner
39490,,Napier,6/08/15,N150777,90 Latham Street   Napier,90 Latham Street,,,,"4,500",replace existing with jayline ss200 freestanding woodburner
39491,,Napier,6/08/15,N150778,8 Ward Crescent   Napier,8 Ward Crescent,,,,"4,500",replace existing with woodsman totara insert woodburner
39492,,Napier,6/08/15,N150756,7 Lyttelton Crescent   Napier,7 Lyttelton Crescent,,,,"3,750",replace existing with jayline is550 insert woodburner
39493,,Napier,6/08/15,N150784,32 Balliol Avenue   Napier,32 Balliol Avenue,,,,"3,600",replace existing with masport i3000 woodburner
39494,,Napier,6/08/15,N150754,24A Ryan Crescent   Napier,24A Ryan Crescent,,,,"3,500",replace existing with masport r1500 woodburner
39495,,Napier,6/08/15,N150773,39 Lyttelton Crescent   Napier,39 Lyttelton Crescent,,,,"3,500",replace existing with kent firenzo freestanding woodburner
39497,,Napier,6/08/15,N150780,242A Kennedy Road   Napier,242A Kennedy Road,,,,580,replace existing with woodsman `flare` freestanding  woodburner
39500,,Napier,7/08/15,N150793,112 Te Awa Avenue   Napier,112 Te Awa Avenue,,,,"5,700",install metro wee rad freestanding woodburner with wetback
39514,,Napier,11/08/15,N150702,16 Clyde Road   Napier,16 Clyde Road,,,,"20,500",canopy over existing deck/outdoor woodburner
39522,,Napier,13/08/15,N150794,59 Churchill Drive   Napier,59 Churchill Drive,,,,"4,750",install masport r5000 freestanding woodburner
39523,,Napier,13/08/15,N150808,12 Te Awa Avenue   Napier,12 Te Awa Avenue,,,,"4,500",replace existing with masport f3000 freestanding woodburner
39525,,Napier,13/08/15,N150798,111 Milton Road   Napier,111 Milton Road,,,,"4,500",install jayline spitfire woodburner
39526,,Napier,13/08/15,N150803,26 Otatara Road   Napier,26 Otatara Road,,,,"3,900",install metro eco wee rad woodburner
39527,,Napier,13/08/15,N150802,25 Morris Spence Avenue   Napier,25 Morris Spence Avenue,,,,"3,900",install metro eco smart insert woodburner
39528,,Napier,13/08/15,N150795,1A Villers Street   Napier,1A Villers Street,,,,"3,500",with metro wee rad freestanding woodburner
39529,,Napier,13/08/15,N150799,191A Avondale Road   Napier,191A Avondale Road,,,,"2,000",replace existing with jayline ss300 woodburner
39531,,Napier,14/08/15,N150813,1 Blenheim Street   Napier,1 Blenheim Street,,,,"3,500",replace existing with  masport i3000 insert woodburner
39532,,Napier,14/08/15,N150812,176 Nuffield Avenue   Napier,176 Nuffield Avenue,,,,"1,200",replace existing with metro wee rad freestanding woodburner
39537,,Napier,17/08/15,N150829,58 Rutherford Road   Napier,58 Rutherford Road,,,,"4,500",replace existing with woodsman totara insert woodburner
39543,,Napier,19/08/15,N150721,19 Gladstone Road   Napier,19 Gladstone Road,,,,"5,615",install masport le4000 insert woodburner
39544,,Napier,19/08/15,N150841,18 Kent Terrace   Napier,18 Kent Terrace,,,,"5,500",install pyroclassic iv freestanding woodburner
39545,,Napier,19/08/15,N150823,29 Freyberg Avenue   Napier,29 Freyberg Avenue,,,,"5,300",install pyroclassic iv woodburner
39546,,Napier,19/08/15,N150828,116 Wharerangi Road   Napier,116 Wharerangi Road,,,,"4,500",replace existing with masport i3000 insert woodburner
39547,,Napier,19/08/15,N150834,8 Maxwell Place   Napier,8 Maxwell Place,,,,"4,000",install metro eco smart insert woodburner
39548,,Napier,19/08/15,N150836,77 Milton Road   Napier,77 Milton Road,,,,"4,000",install bannockburn i2000 insert woodburner
39549,,Napier,19/08/15,N150840,2 Cobden Crescent   Napier,2 Cobden Crescent,,,,"3,750",replace existing with jayline is550 insert woodburner
39552,,Napier,21/08/15,N150781,9 Aoraki Road   Napier,9 Aoraki Road,,,,"5,790",install firenzo viking ag woodburner
39553,,Napier,21/08/15,N150856,14 Jeffares Place   Napier,14 Jeffares Place,,,,"4,500",replace existing with metro wee rad freestanding woodburner
39554,,Napier,21/08/15,N150842,206 Willowbank Avenue   Napier,206 Willowbank Avenue,,,,"4,200",replace existing with osburn 1600  woodburner
39555,,Napier,21/08/15,N150837,5 Gilray Avenue   Napier,5 Gilray Avenue,,,,"4,000",replace existing with metro eco smart insert woodburner
39556,,Napier,21/08/15,N150854,426 Gloucester Street   Napier,426 Gloucester Street,,,,"3,500",replace existing with masport hestia freestanding woodburner
39579,,Napier,2/09/15,N150887,52 Le Quesne Road   Napier,52 Le Quesne Road,,,,"5,200",replace existing with pyroclassic iv freestanding woodburner
39580,,Napier,2/09/15,N150866,9 Islington Place   Napier,9 Islington Place,,,,"5,000",install pyroclassic iv woodburner
39581,,Napier,2/09/15,N150877,54 James Foley Avenue   Napier,54 James Foley Avenue,,,,"4,800",install masport r5000 freestanding woodburner
39582,,Napier,2/09/15,N150855,4 Cobden Crescent   Napier,4 Cobden Crescent,,,,"4,500",replace existing with masport i2000 insert woodburner
39583,,Napier,2/09/15,N150862,28 Allen Berry Avenue   Napier,28 Allen Berry Avenue,,,,"4,500",install masport r5000 freestanding woodburner
39584,,Napier,2/09/15,N150878,18 Lannie Place   Napier,18 Lannie Place,,,,"4,500",install masport i2000 bannackburn woodburner
39585,,Napier,2/09/15,N150896,6 Montpelier Drive   Napier,6 Montpelier Drive,,,,"4,500",replace exisitng with metro wee ped freestanding woodburner
39586,,Napier,2/09/15,N150897,169 Vigor Brown Street   Napier,169 Vigor Brown Street,,,,"4,500",replace existing with masport i3000 insert woodburner
39587,,Napier,2/09/15,N150839,61 Exeter Crescent   Napier,61 Exeter Crescent,,,,"4,000",replace existing with masport i3000 insert woodburner
39588,,Napier,2/09/15,N150873,8 Bedford Road   Napier,8 Bedford Road,,,,"4,000",replace existing with masport i2000 insert woodburner
39589,,Napier,2/09/15,N150865,35 Trinity Crescent   Napier,35 Trinity Crescent,,,,"3,844",install metro eco smart insert woodburner
39590,,Napier,2/09/15,N150885,37 Frickleton Street   Napier,37 Frickleton Street,,,,"3,700",replace existing with masport i3000 insert woodburner
39591,,Napier,2/09/15,N150845,1 Bracken Street   Napier,1 Bracken Street,,,,"3,300",install kent rata insert woodburner
39592,,Napier,2/09/15,N150867,485 Marine Parade   Napier,485 Marine Parade,,,,"3,000",install metro eco wee ped woodburner
39598,,Napier,3/09/15,N150849,10 Trinity Crescent   Napier,10 Trinity Crescent,,,,"4,500",replace existing with firenzo forte flush woodburner
39599,,Napier,3/09/15,N150868,6 Alexander Avenue   Napier,6 Alexander Avenue,,,,"4,000",replace existing with masport r5000 freestanding woodburner
39600,,Napier,3/09/15,N150886,177 Guppy Road   Napier,177 Guppy Road,,,,"3,900",replace existing with masport i3000 woodburner
39601,,Napier,3/09/15,N150884,29A Lanark Crescent   Napier,29A Lanark Crescent,,,,"3,600",replace existing with kent firenze freestanding woodburner
39602,,Napier,3/09/15,N150861,15 Liverpool Crescent   Napier,15 Liverpool Crescent,,,,"3,500",replace existing with masport i3000 woodburner
39616,,Napier,14/09/15,N150924,245 Willowbank Avenue   Napier,245 Willowbank Avenue,,,,"5,502",replace existing with kent metro eco insert woodburner with
39632,,Napier,18/09/15,N150931,12 Addison Street   Napier,12 Addison Street,,,,"5,200",install pyroclassic iv woodburner
39633,,Napier,18/09/15,N150930,1 Morris Spence Avenue   Napier,1 Morris Spence Avenue,,,,"5,100",install pyroclassic iv freestanding woodburner
39634,,Napier,18/09/15,N150902,311 Kennedy Road   Napier,311 Kennedy Road,,,,"4,800",replace existing with masport hestia 2 woodburner
39635,,Napier,18/09/15,N150905,52 Seddon Crescent   Napier,52 Seddon Crescent,,,,"4,500",replace existing woodsman ecr mkiii freestanding woodburner
39636,,Napier,18/09/15,N150920,32 Massey Crescent   Napier,32 Massey Crescent,,,,"4,500",replace existing with woodsman totara insert woodburner
39637,,Napier,18/09/15,N150921,67 Clarence Cox Crescent   Napier,67 Clarence Cox Crescent,,,,"4,500",replace existing with metro wee rad freestanding woodburner
39638,,Napier,18/09/15,N150932,10 Ted Harpur Place   Napier,10 Ted Harpur Place,,,,"4,500",install masport r1500 ped freestanding woodburner
39639,,Napier,18/09/15,N150904,8 Burlington Road   Napier,8 Burlington Road,,,,"4,250",install masport r1500 ped woodburner
39640,,Napier,18/09/15,N150900,235 Georges Drive   Napier,235 Georges Drive,,,,"4,000",replace existing with kent logfire ii woodburner
39641,,Napier,18/09/15,N150942,199 Gloucester Street   Napier,199 Gloucester Street,,,,"4,000",install metro wee rad woodburner
39642,,Napier,18/09/15,N150947,3/2 Anzac Avenue   Napier,3/2 Anzac Avenue,,,,"3,400",replace existing with masport r1600 freestanding woodburner
39643,,Napier,18/09/15,N150903,59 Flanders Avenue   Napier,59 Flanders Avenue,,,,"3,100",replace existing with masport f2000 woodburner
39644,,Napier,18/09/15,N150901,114 Tait Drive   Napier,114 Tait Drive,,,,"2,800",replace existing with magnum p100 woodburner
39653,,Napier,22/09/15,N150953,81 Douglas Mclean Avenue   Napier,81 Douglas Mclean Avenue,,,,"4,500",replace existing with woodsman totara insert woodburner
39654,,Napier,23/09/15,N150949,108 Latham Street   Napier,108 Latham Street,,,,"5,400",install pyroclassic iv woodburner
39666,,Napier,25/09/15,N150874,29 Colenso Avenue   Napier,29 Colenso Avenue,,,,"10,000",relocate woodburner/internal alterations
39698,,Napier,13/10/15,N150988,1A Oxford Street   Napier,1A Oxford Street,,,,"5,200",install pyroclassic iv woodburner
39699,,Napier,13/10/15,N150989,7 Morgan Avenue   Napier,7 Morgan Avenue,,,,"5,000",replace existing with jayline is550 insert woodburner
39700,,Napier,13/10/15,N151005,1/177 Avondale Road   Napier,1/177 Avondale Road,,,,"5,000",replace existing with pyro classic woodburner
39701,,Napier,13/10/15,N151006,21A Elbourne Street   Napier,21A Elbourne Street,,,,"4,595",install masport le4000 inbuilt woodburner
39702,,Napier,13/10/15,N150998,11 Fitzroy Road   Napier,11 Fitzroy Road,,,,"4,500",install masport r5000 freestanding woodburner
39703,,Napier,13/10/15,N150971,9 Riverbend Road   Napier,9 Riverbend Road,,,,"4,500",replace existing with masport hestia freestanding woodburner
39704,,Napier,13/10/15,N150970,76 Wycliffe Street   Napier,76 Wycliffe Street,,,,"4,000",replace existing with masport i3000 insert woodburner
39705,,Napier,13/10/15,N150994,23 Pembroke Street   Napier,23 Pembroke Street,,,,"4,000",replace existing with masport i3000 insert woodburner
39707,,Napier,14/10/15,N150977,5 Magdalen Crescent   Napier,5 Magdalen Crescent,,,,"4,500",install metro wee rad freestanding woodburner
39708,,Napier,14/10/15,N150979,6 Hammond Road   Napier,6 Hammond Road,,,,"4,500",replace existing with woodsman totara insert woodburner
39717,,Napier,20/10/15,N151029,5B Hetley Crescent   Napier,5B Hetley Crescent,,,,"5,700",replace existing with kent tui rad freestanding woodburner
39752,,Napier,5/11/15,N151028,7 Sixty Fifth Street   Napier,7 Sixty Fifth Street,,,,"6,200",replace existing with masport hestia freestanding woodburner
39753,,Napier,5/11/15,N151026,6A Elizabeth Road   Napier,6A Elizabeth Road,,,,"5,000",replace existing with masport le4000 insert woodburner
39754,,Napier,5/11/15,N151027,54 Osier Road   Napier,54 Osier Road,,,,"5,000",replace existing with masport le4000 insert woodburner
39756,,Napier,5/11/15,N151065,129 Chaucer Road North   Napier,129 Chaucer Road North,,,,"4,500",replace existing with masport f3000 freestanding woodburner
39757,,Napier,5/11/15,N151048,17 Waterworth Avenue   Napier,17 Waterworth Avenue,,,,"4,500",replace existing with metro wee rad freestanding woodburner
39759,,Napier,5/11/15,N151046,79 Douglas Mclean Avenue   Napier,79 Douglas Mclean Avenue,,,,"4,500",replace existing with woodsman totara insert woodburner
39760,,Napier,5/11/15,N151066,5 Venables Avenue   Napier,5 Venables Avenue,,,,"4,500",replace existing with woodsman totara insert woodburner
39761,,Napier,5/11/15,N151040,41 Barker Road   Napier,41 Barker Road,,,,"4,250",install masport bannockburn i2000 woodburner
39762,,Napier,5/11/15,N151056,53A Taradale Road   Napier,53A Taradale Road,,,,"3,600",replace existing with jayline ss280 freestanding woodburner
39774,,Napier,10/11/15,N151070,12 Hetley Crescent   Napier,12 Hetley Crescent,,,,"11,445",replace existing with esse 500 plus 1 woodburner with
39778,,Napier,11/11/15,N151072,14 Coverdale Street   Napier,14 Coverdale Street,,,,"4,500",replace existing with metro smart insert woodburner
39779,,Napier,11/11/15,N151073,15 Wycliffe Street   Napier,15 Wycliffe Street,,,,"4,459",replace existing with metro smart insert woodburner with
39780,,Napier,11/11/15,N151074,72 O'Dowd Road   Napier,72 O'Dowd Road,,,,"3,505",replace existing with metro wee ped freestanding woodburner
39781,,Napier,12/11/15,N151079,7 Lodge Road   Napier,7 Lodge Road,,,,"4,500",replace existing with masport r1600 freestanding woodburner
39782,,Napier,13/11/15,N151093,8 Waterworth Avenue   Napier,8 Waterworth Avenue,,,,"4,000",replace existing with masport i2000 insert woodburner
39805,,Napier,24/11/15,N151116,23A Pembroke Street   Napier,23A Pembroke Street,,,,"6,639",install masport le400 woodburner
39809,,Napier,24/11/15,N151100,25 Lowther Place   Napier,25 Lowther Place,,,,"3,793",replace existing with metro wee rad freestanding woodburner
39810,,Napier,24/11/15,N151117,9 Devonshire Place   Napier,9 Devonshire Place,,,,"3,500",replace existing with masport r1500 freestanding woodburner
39811,,Napier,24/11/15,N151115,33 Alexander Avenue   Napier,33 Alexander Avenue,,,,"2,800",replace existing with masport r1500p freestanding woodburner
